pickup_datetime,passenger_count,trip_distance_mi,fare_amount,tip_amount,total_amount
2013-02-05T19:19,5,1.94,8.5,0.0,10.0
2013-02-10T21:21,1,3.08,11.5,0.0,12.5
2013-02-10T21:11,1,9.07,27.5,2.7,36.0
2013-02-05T19:17,1,1.56,9.5,2.1,13.1
2013-02-05T19:29,1,2.92,10.5,2.3,14.3
2013-02-05T19:24,1,0.93,4.5,0.0,6.0
2013-02-10T21:26,1,1.01,6.5,0.0,7.5
2013-02-10T21:23,1,1.38,8.0,1.7,10.7
2013-02-08T09:24,5,0.99,7.5,2.0,10.0
2013-02-08T09:07,1,3.12,16.5,0.0,17.0
2013-02-10T20:55,1,10.44,28.5,0.0,29.5
2013-02-08T09:28,5,1.21,7.0,1.0,8.5
2013-02-10T21:07,2,4.33,15.0,0.0,16.0
2013-02-05T19:13,5,2.15,8.5,0.0,10.0
2013-02-08T09:26,2,0.8,7.5,0.5,8.5
2013-02-05T19:05,1,0.89,6.0,0.0,7.5
2013-02-05T18:55,1,3.57,13.5,0.0,15.0
2013-02-08T09:13,1,0.41,4.0,0.8,5.3
2013-02-08T08:56,1,2.27,12.5,0.0,13.0
2013-02-10T20:34,5,4.55,16.0,0.0,17.0
2013-02-10T20:46,3,0.94,5.5,1.5,8.0
2013-02-10T20:44,1,2.44,9.0,0.0,10.0
2013-02-08T09:05,1,0.97,7.5,0.0,8.0
2013-02-10T22:08,1,1.69,8.0,1.7,10.7
2013-02-08T08:17,2,0.89,6.0,2.0,8.5
2013-02-08T08:18,1,0.69,5.0,1.0,6.5
2013-02-08T08:16,3,0.88,6.5,0.0,7.0
2013-02-08T08:07,3,2.06,11.5,3.0,15.0
2013-02-10T19:14,1,10.79,31.5,0.0,32.0
2013-02-10T19:24,2,4.85,16.5,2.2,19.2
2013-02-10T19:28,1,1.9,8.5,0.0,9.0
2013-02-08T08:18,1,1.15,6.5,0.0,7.0
2013-02-08T09:28,1,0.67,5.5,0.0,6.0
2013-02-08T09:27,2,0.49,4.0,1.2,5.7
2013-02-08T09:22,1,0.61,7.0,1.0,8.5
2013-02-08T09:27,1,0.42,4.0,0.0,4.5
2013-02-08T09:18,1,1.3,11.0,2.0,13.5
2013-02-10T21:17,2,2.13,9.5,0.0,10.5
2013-02-08T09:26,1,8.69,28.0,5.0,38.3
2013-02-08T09:32,6,0.28,3.0,0.6,4.1
2013-02-08T09:36,1,4.33,17.0,0.0,17.5
